eval_index,timestep,num_rl_agents,tsr,timeout_rate,non_timeout_failure_rate,mean_reward,mean_episode_length_per_car,mean_steps_per_completed_car,mean_policy_to_expert_step_ratio,mean_excess_steps_vs_expert,traffic_violation_count,rollout_traffic_violations_since_last_eval,rollout_failures_since_last_eval,rollout_timeouts_since_last_eval,rollout_successes_since_last_eval,action_slow_count,action_fast_count,action_normal_count,action_stop_count,agent_car_1_mean_reward,agent_car_2_mean_reward
1,3000,2,0.0,0.6666666666666666,0.3333333333333333,-1.8666666666666667,31.166666666666668,935.0,0.9303482721947725,-7.4,5,359,9,12,3,0,0,0,1880,-2.6666666666666665,-0.6666666666666666
2,6000,2,0.0,0.6666666666666666,0.3333333333333333,-1.8666666666666667,31.166666666666668,935.0,0.9303482721947725,-7.4,5,397,7,14,3,0,0,0,1880,-2.6666666666666665,-0.6666666666666666
3,9000,2,0.0,0.6666666666666666,0.3333333333333333,-1.8666666666666667,31.166666666666668,935.0,0.9303482721947725,-7.4,5,285,4,13,7,0,0,0,1880,-2.6666666666666665,-0.6666666666666666
4,12000,2,0.0,0.6666666666666666,0.3333333333333333,-1.8666666666666667,31.166666666666668,935.0,0.9303482721947725,-7.4,5,222,6,12,5,0,0,0,1880,-2.6666666666666665,-0.6666666666666666
5,15000,2,0.0,0.8666666666666667,0.13333333333333333,-1.3349999948094289,34.46666666666667,1034.0,1.0236033906672823,-0.8,2,278,11,13,2,0,28,0,2044,-1.7233333277205627,-0.5466666638851165
6,18000,2,0.0,0.6666666666666666,0.3333333333333333,-1.8466666658719382,31.166666666666668,935.0,0.9303482721947725,-7.4,5,277,10,11,4,0,4,0,1876,-2.6266666650772095,-0.6666666666666666
