eval_index,timestep,num_rl_agents,tsr,timeout_rate,non_timeout_failure_rate,mean_reward,mean_episode_length_per_car,mean_steps_per_completed_car,mean_policy_to_expert_step_ratio,mean_excess_steps_vs_expert,traffic_violation_count,rollout_traffic_violations_since_last_eval,rollout_failures_since_last_eval,rollout_timeouts_since_last_eval,rollout_successes_since_last_eval,action_slow_count,action_fast_count,action_normal_count,action_stop_count,agent_car_1_mean_reward,agent_car_2_mean_reward
1,3000,2,0.0,1.0,0.0,0.0,37.5,1125.0,1.103463213384248,5.266666666666667,0,327,9,12,5,0,0,0,2250,0.0,0.0
2,6000,2,0.0,1.0,0.0,0.20166666979591052,37.5,1125.0,1.103463213384248,5.266666666666667,0,255,11,12,4,0,1,66,2183,0.23333333805203438,0.17000000874201457
3,9000,2,0.0,1.0,0.0,0.42833334021270275,37.5,1125.0,1.103463213384248,5.266666666666667,0,253,13,12,2,0,0,139,2111,0.45333335821827253,0.40333336144685744
4,12000,2,0.0,1.0,0.0,0.7183333445340395,37.5,1125.0,1.103463213384248,5.266666666666667,0,399,9,8,9,0,15,205,2030,0.620000030597051,0.8166666294137637
5,15000,2,0.4666666666666667,0.4,0.13333333333333333,2.776666760444641,30.4,60.8,0.9034776828353046,-8.933333333333334,2,264,7,13,3,0,764,14,1050,3.610000568628311,1.9433338165283203
6,18000,2,0.4666666666666667,0.4,0.13333333333333333,2.9116667630771795,31.033333333333335,62.06666666666667,0.928052515606114,-7.666666666666667,2,299,8,12,7,0,772,57,1037,3.826667247215907,1.9966671069463093
7,21000,2,0.4,0.4666666666666667,0.13333333333333333,2.5716667560239634,31.233333333333334,72.07692307692308,0.9328235613440643,-7.266666666666667,2,308,8,8,9,0,724,19,1135,3.433333956450224,1.710000511010488
8,24000,2,0.4666666666666667,0.4666666666666667,0.06666666666666667,3.160000100856026,32.766666666666666,65.53333333333333,0.9648996897245407,-4.2,1,271,5,12,6,0,731,100,1137,3.7966672691206136,2.523333787918091
9,27000,2,0.3333333333333333,0.4666666666666667,0.2,2.0166667468845842,30.766666666666666,83.9090909090909,0.9078906387375532,-8.2,3,215,11,12,5,0,566,198,1088,1.8866671038170655,2.146666951974233
