eval_index,timestep,num_rl_agents,tsr,timeout_rate,non_timeout_failure_rate,mean_reward,mean_episode_length_per_car,mean_steps_per_completed_car,mean_policy_to_expert_step_ratio,mean_excess_steps_vs_expert,traffic_violation_count,rollout_traffic_violations_since_last_eval,rollout_failures_since_last_eval,rollout_timeouts_since_last_eval,rollout_successes_since_last_eval,action_slow_count,action_fast_count,action_normal_count,action_stop_count,agent_car_1_mean_reward
1,20000,1,0.8666666666666667,0.0,0.13333333333333333,0.3000003509223461,30.2,34.84615384615385,0.5720689972479325,-23.8,80,1129,26,119,199,0,455,0,0,0.30000108083089194
2,40000,1,0.8666666666666667,0.0,0.13333333333333333,0.3000003509223461,30.133333333333333,34.76923076923077,0.5701544089082967,-23.866666666666667,80,984,29,63,283,0,454,0,0,0.30000104904174807
3,60000,1,0.8666666666666667,0.0,0.13333333333333333,0.3000003509223461,30.133333333333333,34.76923076923077,0.5703863049648565,-23.866666666666667,84,820,29,36,329,0,454,0,0,0.30000108083089194
4,80000,1,0.8666666666666667,0.0,0.13333333333333333,0.3000003509223461,29.933333333333334,34.53846153846154,0.5664093939105798,-24.066666666666666,80,830,27,16,376,0,451,0,0,0.30000104904174807
5,100000,1,0.8666666666666667,0.0,0.13333333333333333,-0.2599997508029143,30.066666666666666,34.69230769230769,0.5692933994669721,-23.933333333333334,82,861,27,17,394,0,453,0,0,-0.25999908447265624
6,120000,1,0.8666666666666667,0.0,0.13333333333333333,-0.2599997508029143,30.066666666666666,34.69230769230769,0.5686266617573955,-23.933333333333334,80,743,31,20,398,0,453,0,0,-0.25999908447265624
7,140000,1,0.8666666666666667,0.0,0.13333333333333333,0.3000003509223461,30.2,34.84615384615385,0.5713766899559531,-23.8,82,916,37,12,400,0,455,0,0,0.3000011444091797
8,160000,1,0.8666666666666667,0.0,0.13333333333333333,-0.2599997508029143,30.266666666666666,34.92307692307692,0.5722344384661232,-23.733333333333334,83,840,34,17,407,0,456,0,0,-0.2599989891052246
9,180000,1,0.8666666666666667,0.0,0.13333333333333333,0.3000003509223461,29.866666666666667,34.46153846153846,0.5654997823959337,-24.133333333333333,80,667,28,9,415,0,450,0,0,0.30000104904174807
