k	test_checkpoint	test_tsr	test_timeout_rate	test_mean_episode_length	test_mean_agent_tsr	rollout_checkpoint	rollout_micro_tsr	rollout_failure_rate	rollout_timeout_rate	rollout_mean_steps_per_resolved_goal_attempt	rollout_hazard_step_rate	rollout_mean_safety_gain	rollout_mean_l1_shift
1	5000	1.0000	0.0000	45.6700	1.0000	5000	0.8400	0.1600	0.0000	36.8400	0.0988	0.0344	0.1249
2	1000	0.9400	0.0600	84.1300	0.9700	4000	0.7400	0.2600	0.2600	30.1400	0.0541	0.0194	0.0898
