eval_index,timestep,num_rl_agents,tsr,timeout_rate,non_timeout_failure_rate,mean_reward,mean_episode_length_per_car,mean_steps_per_completed_car,mean_policy_to_expert_step_ratio,mean_excess_steps_vs_expert,traffic_violation_count,rollout_traffic_violations_since_last_eval,rollout_failures_since_last_eval,rollout_timeouts_since_last_eval,rollout_successes_since_last_eval,action_slow_count,action_fast_count,action_normal_count,action_stop_count,agent_car_1_mean_reward,agent_car_2_mean_reward
1,10000,2,0.5333333333333333,0.0,0.4666666666666667,-4.924999634424846,12.233333333333333,22.9375,0.3528927289971631,-45.266666666666666,166,935,26,39,18,0,748,0,0,1.0700005292892456,-10.919999543825785
2,20000,2,0.4666666666666667,0.0,0.5333333333333333,-5.964999509726962,11.566666666666666,24.785714285714285,0.32611094423970954,-46.6,158,1001,27,40,21,0,710,0,0,0.8733338197072347,-12.803332853317261
3,30000,2,0.5333333333333333,0.0,0.4666666666666667,-5.386666149025162,12.233333333333333,22.9375,0.3536436922901342,-45.266666666666666,171,1027,33,46,11,0,748,0,0,3.3166670282681783,-14.089999548594157
4,40000,2,0.4,0.0,0.6,-7.584999283651511,11.333333333333334,26.153846153846153,0.31717331466987175,-47.06666666666667,157,1016,32,41,20,0,698,0,0,0.8066670616467794,-15.97666629155477
5,50000,2,0.5333333333333333,0.0,0.4666666666666667,-4.6399994570761915,12.2,22.875,0.3512831147210485,-45.333333333333336,165,790,23,41,20,0,746,0,0,1.0766671458880106,-10.356666199366252
6,60000,2,0.4666666666666667,0.0,0.5333333333333333,-6.223332739745577,11.666666666666666,25.0,0.3293827783991684,-46.4,168,1061,24,30,36,0,716,0,0,0.9166671633720398,-13.36333285967509
7,70000,2,0.4666666666666667,0.0,0.5333333333333333,-5.968332740540306,11.466666666666667,24.571428571428573,0.32414003097717387,-46.8,161,1007,34,34,29,0,704,0,0,0.8733338594436646,-12.809999537467956
8,80000,2,0.4,0.0,0.6,-7.586666024848819,11.3,26.076923076923077,0.31625869719173044,-47.13333333333333,162,816,23,33,31,0,696,0,0,0.8066670099894205,-15.979999542236328
