eval_index,timestep,num_rl_agents,tsr,timeout_rate,non_timeout_failure_rate,mean_reward,mean_episode_length_per_car,mean_steps_per_completed_car,mean_policy_to_expert_step_ratio,mean_excess_steps_vs_expert,traffic_violation_count,rollout_traffic_violations_since_last_eval,rollout_failures_since_last_eval,rollout_timeouts_since_last_eval,rollout_successes_since_last_eval,action_slow_count,action_fast_count,action_normal_count,action_stop_count,agent_car_1_mean_reward,agent_car_2_mean_reward,agent_car_3_mean_reward
1,5001,3,0.6,0.13333333333333333,0.26666666666666666,2.441111260280013,25.666666666666668,42.77777777777778,1.003989238795753,-3.8666666666666667,41,512,19,15,1,413,172,1154,1738,2.6933325668176016,1.5899993499120078,3.039999016125997
2,10002,3,0.7333333333333333,0.06666666666666667,0.2,2.8755557128538687,25.8,35.18181818181818,0.9836369660552579,-3.466666666666667,30,480,22,11,3,427,191,1362,1512,3.8533326427141827,1.266665897766749,3.506665430466334
3,15003,3,0.4666666666666667,0.26666666666666666,0.26666666666666666,2.1933334769060213,28.57777777777778,61.23809523809524,1.082996507172329,4.866666666666666,49,505,18,14,0,382,175,984,2329,3.276666021347046,0.7799992521603902,2.523332581917445
