eval_index,timestep,num_rl_agents,tsr,timeout_rate,non_timeout_failure_rate,mean_reward,mean_episode_length_per_car,mean_steps_per_completed_car,mean_policy_to_expert_step_ratio,mean_excess_steps_vs_expert,traffic_violation_count,rollout_traffic_violations_since_last_eval,rollout_failures_since_last_eval,rollout_timeouts_since_last_eval,rollout_successes_since_last_eval,action_slow_count,action_fast_count,action_normal_count,action_stop_count,agent_car_1_mean_reward
1,3000,1,0.0,1.0,0.0,0.23000000913937887,74.93333333333334,1124.0,1.4565115760394098,20.933333333333334,0,195,4,21,24,0,23,0,1101,0.2300000031789144
2,6000,1,1.0,0.0,0.0,5.230000159144401,49.333333333333336,49.333333333333336,0.9128627692882499,-4.666666666666667,0,202,4,21,25,0,488,0,252,5.230001020431518
3,9000,1,1.0,0.0,0.0,5.230000159144401,48.4,48.4,0.8961718452278329,-5.6,0,143,2,17,28,0,489,0,237,5.230000845591227
4,12000,1,1.0,0.0,0.0,5.230000159144401,47.666666666666664,47.666666666666664,0.8808110361250883,-6.333333333333333,0,166,1,18,33,0,482,0,233,5.230000893274943
5,15000,1,0.7333333333333333,0.06666666666666667,0.2,2.170000129689773,41.86666666666667,57.09090909090909,0.7708094606602466,-12.133333333333333,17,203,4,22,23,0,396,0,235,2.170000767707825
6,18000,1,0.7333333333333333,0.06666666666666667,0.2,2.3400001361966134,41.733333333333334,56.90909090909091,0.7502782796743175,-12.266666666666667,23,113,5,20,26,0,411,0,218,2.3400009075800576
7,21000,1,0.7333333333333333,0.06666666666666667,0.2,-0.9766663335263729,41.666666666666664,56.81818181818182,0.7638517160185341,-12.333333333333334,16,109,1,16,35,0,393,0,235,-0.9766659498214721
8,24000,1,0.8666666666666667,0.06666666666666667,0.06666666666666667,4.0766668111085895,45.93333333333333,53.0,0.8610334609519804,-8.066666666666666,21,143,1,11,41,0,436,9,245,4.0766674995422365
9,27000,1,0.8666666666666667,0.0,0.13333333333333333,1.753333576520284,43.8,50.53846153846154,0.8249997075289544,-10.2,32,117,1,21,29,0,430,12,217,1.7533339659372966
10,30000,1,0.8,0.06666666666666667,0.13333333333333333,1.713333578656117,43.4,54.25,0.7796235527957335,-10.6,26,177,3,12,35,0,429,10,214,1.7133339881896972
