exp_name,assignment_name,model_slot_mapping,permutation_index,method,difficulty,seed,split,eval_index,timestep,wall_clock_time_sec,best_tsr_so_far,num_eval_episodes,tsr,mean_reward,failure_rate,timeout_rate,mean_episode_length,num_rl_agents,mean_agent_tsr,joint_tsr,joint_failure_rate,joint_timeout_rate,episodes_all_k_success,episodes_joint_failure,episodes_joint_timeout,mean_completed_rl_agents,mean_completed_rl_fraction,mean_completed_rl_agents_before_failure,mean_completed_rl_agents_before_timeout,mean_episode_length_per_rl_agent,mean_steps_per_completed_rl_agent,successful_rl_agents_per_1k_episode_steps,mean_episode_length_per_car,mean_steps_per_completed_car,successful_cars_per_1k_episode_steps,mean_expert_reference_step_count,mean_policy_to_expert_step_ratio,mean_excess_steps_vs_expert,action_slow_count,action_normal_count,action_fast_count,action_stop_count,mean_decision_succ,mean_base_policy_safe_prob,mean_shielded_policy_safe_prob,mean_safety_gain,shield_intervention_rate,mean_policy_kl_base_to_shielded,mean_l1_shift_base_to_shielded,hazard_step_rate,shield_forced_stop_rate,base_action_slow_count,base_action_normal_count,base_action_fast_count,base_action_stop_count,shielded_action_slow_count,shielded_action_normal_count,shielded_action_fast_count,shielded_action_stop_count,mean_safe_prob_action_slow,mean_safe_prob_action_normal,mean_safe_prob_action_fast,mean_safe_prob_action_stop,rollout_failures_since_last_eval,rollout_timeouts_since_last_eval,rollout_successes_since_last_eval,goal_completion_rate,mean_agent_goal_completion_rate,failure_rate_per_goal,failure_rate_per_1k_steps,unfinished_goal_rate,completed_goals,failed_goals,active_goals_at_budget,deployment_count,failure_reset_count,resolved_goal_attempts,resolved_goal_quota_per_agent,micro_rollout_tsr,micro_rollout_failure_rate,macro_rollout_tsr,macro_rollout_failure_rate,mean_steps_per_resolved_goal_attempt,successful_goals_per_1k_steps,resolved_goal_attempts_per_1k_steps,agent_car_1_failure_involvement_rate,agent_car_1_mean_active_steps,agent_car_1_mean_reward,agent_car_1_timeout_unresolved_rate,agent_car_1_tsr,agent_car_2_failure_involvement_rate,agent_car_2_mean_active_steps,agent_car_2_mean_reward,agent_car_2_timeout_unresolved_rate,agent_car_2_tsr,non_timeout_failure_rate,rollout_agent_steps_since_last_eval,rollout_required_stop_rate_since_last_eval,rollout_stop_needed_steps_since_last_eval,rollout_traffic_violations_since_last_eval,traffic_violation_count,decision_succ_action_stop,fail_rl_agent_3,fail_rl_agent_6,fail_rule_Collision,fail_rule_Collision_Close,fail_rule_Intersection_Right-of-Way,fail_rule_Simultaneous_Intersection_Entry
agr,,,,PLPGPPO,unknown,2,val,1,5000,5385.233334779739,0.4666666666666667,15,0.4666666666666667,1.3116667045901218,0.3333333333333333,0.2,56.8,2,0.4666666666666667,0.4666666666666667,0.3333333333333333,0.2,7,5,3,0.9333333333333333,0.4666666666666667,0.0,0.0,28.4,60.857142857142854,16.431924882629108,28.4,60.857142857142854,16.431924882629108,69.73333333333333,0.8459418170418146,-12.933333333333334,421,31,530,732,0.0,0.7516209181298175,0.7525713677097507,0.0009504495799332822,1.0,0.0007807952870778922,0.030579888469418958,0.30772431704673214,1.0,12,91,1611,0,421,31,530,732,0.7634063116867039,0.7377363674281776,0.732048119328125,0.7741787515345921,11,19,10,,,,,,,,,,,,,,,,,,,,0.26666666666666666,55.8,0.2566669464111328,0.2,0.4666666666666667,0.06666666666666667,54.733333333333334,2.3666666110356647,0.2,0.4666666666666667,0.3333333333333333,5000,0.1046,523,498,1022,0.0,4,1,5,1,255,761
agr,,,,PLPGPPO,unknown,2,val,2,10000,7593.266652345657,0.4666666666666667,15,0.4666666666666667,0.34833339154720305,0.5333333333333333,0.0,32.266666666666666,2,0.5,0.4666666666666667,0.5333333333333333,0.0,7,8,0,1.0,0.5,0.125,0.0,16.133333333333333,32.266666666666666,30.99173553719008,16.133333333333333,32.266666666666666,30.99173553719008,69.73333333333333,0.479599355907586,-37.46666666666667,321,10,597,56,0.07142857142857142,0.8628430677865578,0.8632478916305837,0.0004048238440257747,1.0,0.0002866840387890456,0.016684458916628262,0.17111397235146988,0.9375,0,0,984,0,321,10,597,56,0.8727332889064541,0.8587169238949209,0.8510249458798548,0.8698446811820434,11,21,9,,,,,,,,,,,,,,,,,,,,0.3333333333333333,31.066666666666666,-0.2599996487299601,0.0,0.5333333333333333,0.2,30.6,0.9566667556762696,0.0,0.4666666666666667,0.5333333333333333,5000,0.085,425,417,343,0.07142857142857142,5,3,8,3,249,83
agr,,,,PLPGPPO,unknown,2,val,3,15000,9530.895416975021,0.4666666666666667,15,0.4,-5.2183331041286385,0.6,0.0,24.266666666666666,2,0.4,0.4,0.6,0.0,6,9,0,0.8,0.4,0.0,0.0,12.133333333333333,30.333333333333332,32.967032967032964,12.133333333333333,30.333333333333332,32.967032967032964,69.73333333333333,0.35112036218270526,-45.46666666666667,13,19,659,55,0.0,0.8834130778389386,0.8837902796012786,0.0003772017623400241,1.0,0.00025905621412519774,0.014957289653393283,0.1451962779178696,1.0,0,0,746,0,13,19,659,55,0.8930477962576991,0.8813258123461747,0.8730123365852213,0.8875674207472609,11,24,6,,,,,,,,,,,,,,,,,,,,0.13333333333333333,23.066666666666666,-1.4166664560635884,0.0,0.4,0.4666666666666667,23.533333333333335,-9.019999464352926,0.0,0.4,0.6,5000,0.0878,439,451,174,0.0,2,7,9,3,140,22
agr,,,,PLPGPPO,unknown,2,val,4,20000,11296.560742616653,0.5333333333333333,15,0.5333333333333333,-5.704999720056851,0.4666666666666667,0.0,25.133333333333333,2,0.5333333333333333,0.5333333333333333,0.4666666666666667,0.0,8,7,0,1.0666666666666667,0.5333333333333333,0.0,0.0,12.566666666666666,23.5625,42.44031830238727,12.566666666666666,23.5625,42.44031830238727,69.73333333333333,0.36246022723489474,-44.6,0,69,696,3,0.0,0.8968276591040194,0.897114180183659,0.0002865210796395938,1.0,0.00019374052203602332,0.012735867174342275,0.12202702999638859,0.42857142857142855,0,0,768,0,0,69,696,3,0.9057624482084066,0.8958979660334686,0.8888586983860781,0.8979651487898082,16,20,9,,,,,,,,,,,,,,,,,,,,0.06666666666666667,22.066666666666666,1.8933337847391765,0.0,0.5333333333333333,0.4666666666666667,23.933333333333334,-13.303332662582397,0.0,0.5333333333333333,0.4666666666666667,5000,0.0994,497,490,182,0.0,1,7,8,4,156,14
agr,,,,PLPGPPO,unknown,2,val,5,25000,13411.08319568634,0.5333333333333333,15,0.5333333333333333,-3.4416663823028406,0.4666666666666667,0.0,24.666666666666668,2,0.5333333333333333,0.5333333333333333,0.4666666666666667,0.0,8,7,0,1.0666666666666667,0.5333333333333333,0.0,0.0,12.333333333333334,23.125,43.24324324324324,12.333333333333334,23.125,43.24324324324324,69.73333333333333,0.35528389907026486,-45.06666666666667,0,16,738,0,0.0,0.8993796536239452,0.89965574771403,0.00027609409008481456,1.0,0.0001850668345167319,0.012380123909177452,0.1177328284731041,0.0,0,0,754,0,0,16,738,0,0.9082465531497166,0.8986934830560608,0.8917577253254402,0.9000198333585926,14,19,11,,,,,,,,,,,,,,,,,,,,0.06666666666666667,21.6,1.876667026678721,0.0,0.5333333333333333,0.4,23.266666666666666,-8.759999450047811,0.0,0.5333333333333333,0.4666666666666667,5000,0.0838,419,404,165,0.0,1,6,7,2,145,11
agr,,,,PLPGPPO,unknown,2,val,6,30000,15380.820029973984,0.5333333333333333,15,0.5333333333333333,-4.329999868075053,0.4666666666666667,0.0,24.333333333333332,2,0.5333333333333333,0.5333333333333333,0.4666666666666667,0.0,8,7,0,1.0666666666666667,0.5333333333333333,0.0,0.0,12.166666666666666,22.8125,43.83561643835616,12.166666666666666,22.8125,43.83561643835616,69.73333333333333,0.35080255119551473,-45.4,0,18,726,0,0.0,0.900648968434462,0.9009083394081362,0.0002593709736741999,1.0,0.0001723107027740503,0.01199031208631813,0.11569966771389528,0.0,0,0,744,0,0,18,726,0,0.9094468162104647,0.9000661583036504,0.893249166748857,0.9010167806859939,15,20,11,,,,,,,,,,,,,,,,,,,,0.0,21.466666666666665,3.280000352859497,0.0,0.5333333333333333,0.4666666666666667,23.133333333333333,-11.939999357859294,0.0,0.5333333333333333,0.4666666666666667,5000,0.1024,512,519,167,0.0,7,7,2,145,13
agr,,,,PLPGPPO,unknown,2,val,7,35000,17308.58250427246,0.5333333333333333,15,0.5333333333333333,-4.591666523615519,0.4666666666666667,0.0,24.6,2,0.5333333333333333,0.5333333333333333,0.4666666666666667,0.0,8,7,0,1.0666666666666667,0.5333333333333333,0.0,0.0,12.3,23.0625,43.360433604336045,12.3,23.0625,43.360433604336045,69.73333333333333,0.3547151422325399,-45.13333333333333,0,21,731,0,0.0,0.8994114708868747,0.8996732340372623,0.00026176315038762193,1.0,0.0001760505288752648,0.01202663945707869,0.11643458862709714,0.0,0,0,752,0,0,21,731,0,0.9081984370788361,0.8987441627269096,0.8921057307656776,0.8998418932265424,15,16,12,,,,,,,,,,,,,,,,,,,,0.0,22.0,3.3100003878275555,0.0,0.5333333333333333,0.4666666666666667,23.0,-12.493332799275716,0.0,0.5333333333333333,0.4666666666666667,5000,0.0788,394,410,170,0.0,7,7,4,144,15
agr,,,,PLPGPPO,unknown,2,val,8,40000,18990.657026529312,0.5333333333333333,15,0.4666666666666667,-5.626666432867448,0.5333333333333333,0.0,23.066666666666666,2,0.4666666666666667,0.4666666666666667,0.5333333333333333,0.0,7,8,0,0.9333333333333333,0.4666666666666667,0.0,0.0,11.533333333333333,24.714285714285715,40.46242774566474,11.533333333333333,24.714285714285715,40.46242774566474,69.73333333333333,0.32461505247385447,-46.666666666666664,0,20,688,0,0.0,0.8986576335073191,0.8989301282638884,0.0002724947565692966,1.0,0.00018366083840176589,0.01220226736139443,0.1185705754800705,0.0,0,0,708,0,0,20,688,0,0.9076135570214967,0.8979794007573424,0.8910677784075172,0.8994706120699812,16,21,7,,,,,,,,,,,,,,,,,,,,0.0,20.733333333333334,3.133333706855774,0.0,0.4666666666666667,0.5333333333333333,21.866666666666667,-14.386666011810302,0.0,0.4666666666666667,0.5333333333333333,5000,0.0808,404,401,161,0.0,8,8,2,139,12
agr,,,,PLPGPPO,unknown,2,val,9,45000,20649.722929000854,0.5333333333333333,15,0.4666666666666667,-5.038333048423131,0.5333333333333333,0.0,23.2,2,0.4666666666666667,0.4666666666666667,0.5333333333333333,0.0,7,8,0,0.9333333333333333,0.4666666666666667,0.0,0.0,11.6,24.857142857142858,40.229885057471265,11.6,24.857142857142858,40.229885057471265,69.73333333333333,0.3273205781195768,-46.53333333333333,0,14,698,0,0.0,0.8982838737998116,0.8985520883390073,0.00026821453919571435,1.0,0.00018126490032771247,0.012060020118951797,0.1181312293661863,0.0,0,0,712,0,0,14,698,0,0.9072923584935371,0.8976687311791303,0.890885217219926,0.8991054787896993,11,24,6,,,,,,,,,,,,,,,,,,,,0.06666666666666667,20.866666666666667,1.6966670711835226,0.0,0.4666666666666667,0.4666666666666667,21.866666666666667,-11.773332667350768,0.0,0.4666666666666667,0.5333333333333333,5000,0.0788,394,344,166,0.0,1,7,8,4,140,14
agr,,,,PLPGPPO,unknown,2,val,10,50000,22252.39063024521,0.5333333333333333,15,0.4666666666666667,-6.284999380384883,0.5333333333333333,0.0,23.733333333333334,2,0.5,0.4666666666666667,0.5333333333333333,0.0,7,8,0,1.0,0.5,0.125,0.0,11.866666666666667,23.733333333333334,42.13483146067416,11.866666666666667,23.733333333333334,42.13483146067416,69.73333333333333,0.3404335953352697,-46.0,0,0,728,0,0.0,0.89877921129976,0.8990401773826107,0.0002609660828506554,1.0,0.0001752193751559429,0.011788939913878074,0.11766872804223018,0.0,0,0,728,0,0,0,728,0,0.9079190417305454,0.8983569633174728,0.891502228985121,0.8996859115886164,12,24,10,,,,,,,,,,,,,,,,,,,,0.06666666666666667,21.0,0.9633336782455444,0.0,0.4666666666666667,0.4666666666666667,22.8,-13.533332888285319,0.0,0.5333333333333333,0.5333333333333333,5000,0.077,385,369,168,0.0,1,7,8,2,143,15
