eval_index,timestep,num_rl_agents,tsr,timeout_rate,non_timeout_failure_rate,mean_reward,mean_episode_length_per_car,mean_steps_per_completed_car,mean_policy_to_expert_step_ratio,mean_excess_steps_vs_expert,traffic_violation_count,rollout_traffic_violations_since_last_eval,rollout_failures_since_last_eval,rollout_timeouts_since_last_eval,rollout_successes_since_last_eval,action_slow_count,action_fast_count,action_normal_count,action_stop_count,agent_car_1_mean_reward,agent_car_2_mean_reward
1,3000,2,0.0,1.0,0.0,0.0,37.5,1125.0,1.103463213384248,5.266666666666667,0,289,8,12,4,0,0,0,2250,0.0,0.0
2,6000,2,0.0,1.0,0.0,0.0,37.5,1125.0,1.103463213384248,5.266666666666667,0,400,9,16,3,0,0,0,2250,0.0,0.0
3,9000,2,0.0,1.0,0.0,0.0,37.5,1125.0,1.103463213384248,5.266666666666667,0,356,2,13,7,0,0,0,2250,0.0,0.0
4,12000,2,0.0,1.0,0.0,0.0,37.5,1125.0,1.103463213384248,5.266666666666667,0,279,6,14,3,0,0,0,2250,0.0,0.0
5,15000,2,0.2,0.8,0.0,3.6600000771383443,36.56666666666667,91.41666666666667,1.0738943588153935,3.4,0,221,5,11,6,0,544,407,1243,3.996666590372721,3.3233333110809324
6,18000,2,0.4666666666666667,0.5333333333333333,0.0,3.4450000980248054,33.6,67.2,0.9868582436942798,-2.533333333333333,0,223,7,14,4,0,747,0,1269,3.5533339850604535,3.336667291323344
7,21000,2,0.3333333333333333,0.6666666666666666,0.0,3.0816667545586824,34.4,86.0,1.008948115529914,-0.9333333333333333,0,224,8,12,6,0,696,0,1368,3.2133337927361327,2.9500004768371584
8,24000,2,0.4,0.4666666666666667,0.13333333333333333,2.146666746834914,30.766666666666666,76.91666666666667,0.9166210483825681,-8.2,2,240,7,11,6,0,602,0,1248,2.956667156269153,1.336667013168335
9,27000,2,0.4666666666666667,0.4666666666666667,0.06666666666666667,2.8900000918656588,32.03333333333333,68.64285714285714,0.9484680000968742,-5.666666666666667,1,242,4,15,4,0,684,0,1240,3.306667184829712,2.473333795865377
10,30000,2,0.4,0.5333333333333333,0.06666666666666667,2.793333421150843,32.6,75.23076923076923,0.9587336056107777,-4.533333333333333,1,347,6,15,2,0,687,0,1271,3.3200005583465098,2.266667191187541
