eval_index,timestep,num_rl_agents,tsr,timeout_rate,non_timeout_failure_rate,mean_reward,mean_episode_length_per_car,mean_steps_per_completed_car,mean_policy_to_expert_step_ratio,mean_excess_steps_vs_expert,traffic_violation_count,rollout_traffic_violations_since_last_eval,rollout_failures_since_last_eval,rollout_timeouts_since_last_eval,rollout_successes_since_last_eval,action_slow_count,action_fast_count,action_normal_count,action_stop_count,agent_car_1_mean_reward,agent_car_2_mean_reward
1,3000,2,0.0,0.8,0.2,-1.1199999968210856,32.733333333333334,982.0,0.9754552425191341,-4.266666666666667,3,273,4,14,5,0,16,0,1954,-1.2833333313465118,-0.5666666646798452
2,6000,2,0.0,1.0,0.0,0.5033333523819844,37.46666666666667,1124.0,1.102102669166561,5.2,0,182,8,13,5,0,95,91,2062,0.5833333417773247,0.8133333504199982
3,9000,2,0.4,0.6,0.0,3.2783334027975797,36.266666666666666,72.53333333333333,1.0606159518007643,2.8,0,257,4,15,4,66,475,387,1248,3.4833333671092985,3.3366666158040363
4,12000,2,0.6,0.4,0.0,3.6133333978553615,34.3,54.1578947368421,1.000575571076093,-1.1333333333333333,0,293,9,13,3,9,504,471,1074,3.836666694531838,3.6400000850359597
5,15000,2,0.7333333333333333,0.26666666666666666,0.0,4.4750000963608425,32.6,40.75,0.9429567355934544,-4.533333333333333,0,279,6,13,5,5,893,192,866,4.726667337616285,4.223333962758383
6,18000,2,0.3333333333333333,0.6,0.06666666666666667,2.6316667639960847,33.333333333333336,83.33333333333333,0.9828384158281873,-3.066666666666667,1,113,8,15,3,7,716,11,1268,3.236667196949323,2.2866671681404114
7,21000,2,0.3333333333333333,0.6666666666666666,0.0,2.8083334202567736,34.53333333333333,94.18181818181819,1.0148090413148538,-0.6666666666666666,61,292,12,10,6,33,641,0,1398,3.1166672160228095,2.760000459353129
8,24000,2,0.4,0.6,0.0,2.9916667574395737,34.43333333333333,79.46153846153847,1.0124517878057508,-0.8666666666666667,60,220,7,14,3,29,724,0,1313,3.2733339838683606,2.970000366369883
9,27000,2,0.3333333333333333,0.6,0.06666666666666667,2.43166675294439,33.4,91.0909090909091,0.9839652491938267,-2.933333333333333,1,226,7,14,2,13,651,16,1326,3.060000551988681,2.0633337537447614
10,30000,2,0.26666666666666666,0.6666666666666666,0.06666666666666667,2.2016667487720647,33.1,110.33333333333333,0.984934066624824,-3.533333333333333,1,268,8,8,8,27,585,0,1376,2.763333792736133,1.9000003973642985
