exp_name,assignment_name,model_slot_mapping,permutation_index,method,difficulty,seed,split,eval_index,timestep,wall_clock_time_sec,best_tsr_so_far,num_eval_episodes,tsr,mean_reward,failure_rate,timeout_rate,mean_episode_length,num_rl_agents,mean_agent_tsr,joint_tsr,joint_failure_rate,joint_timeout_rate,episodes_all_k_success,episodes_joint_failure,episodes_joint_timeout,mean_completed_rl_agents,mean_completed_rl_fraction,mean_completed_rl_agents_before_failure,mean_completed_rl_agents_before_timeout,mean_episode_length_per_rl_agent,mean_steps_per_completed_rl_agent,successful_rl_agents_per_1k_episode_steps,mean_episode_length_per_car,mean_steps_per_completed_car,successful_cars_per_1k_episode_steps,mean_expert_reference_step_count,mean_policy_to_expert_step_ratio,mean_excess_steps_vs_expert,action_slow_count,action_normal_count,action_fast_count,action_stop_count,mean_decision_succ,mean_base_policy_safe_prob,mean_shielded_policy_safe_prob,mean_safety_gain,shield_intervention_rate,mean_policy_kl_base_to_shielded,mean_l1_shift_base_to_shielded,hazard_step_rate,shield_forced_stop_rate,base_action_slow_count,base_action_normal_count,base_action_fast_count,base_action_stop_count,shielded_action_slow_count,shielded_action_normal_count,shielded_action_fast_count,shielded_action_stop_count,mean_safe_prob_action_slow,mean_safe_prob_action_normal,mean_safe_prob_action_fast,mean_safe_prob_action_stop,rollout_failures_since_last_eval,rollout_timeouts_since_last_eval,rollout_successes_since_last_eval,goal_completion_rate,mean_agent_goal_completion_rate,failure_rate_per_goal,failure_rate_per_1k_steps,unfinished_goal_rate,completed_goals,failed_goals,active_goals_at_budget,deployment_count,failure_reset_count,resolved_goal_attempts,resolved_goal_quota_per_agent,micro_rollout_tsr,micro_rollout_failure_rate,macro_rollout_tsr,macro_rollout_failure_rate,mean_steps_per_resolved_goal_attempt,successful_goals_per_1k_steps,resolved_goal_attempts_per_1k_steps,agent_car_1_failure_involvement_rate,agent_car_1_mean_active_steps,agent_car_1_mean_reward,agent_car_1_timeout_unresolved_rate,agent_car_1_tsr,agent_car_2_failure_involvement_rate,agent_car_2_mean_active_steps,agent_car_2_mean_reward,agent_car_2_timeout_unresolved_rate,agent_car_2_tsr,non_timeout_failure_rate,rollout_agent_steps_since_last_eval,rollout_required_stop_rate_since_last_eval,rollout_stop_needed_steps_since_last_eval,rollout_traffic_violations_since_last_eval,traffic_violation_count,decision_succ_action_stop,fail_rl_agent_6,fail_rule_Collision,fail_rule_Collision_Close,fail_rule_Intersection_Right-of-Way,fail_rule_Simultaneous_Intersection_Entry
mix_cons_agr,,,,PLPGPPO,unknown,2,val,1,5000,1312.4251811504364,0.0,15,0.0,1.570000026995937,0.13333333333333333,0.8666666666666667,121.26666666666667,2,0.43333333333333335,0.0,0.13333333333333333,0.8666666666666667,0,2,13,0.8666666666666667,0.43333333333333335,0.0,1.0,60.63333333333333,139.92307692307693,7.146783947223749,60.63333333333333,139.92307692307693,7.146783947223749,69.73333333333333,1.7795875357519193,51.53333333333333,0,1607,17,2018,0.0,0.9377348504670042,0.9424740295531918,0.004739179086187657,1.0,0.02031023511384507,0.02588615742016467,0.08871277343565655,1.0,0,2311,1331,0,0,1607,17,2018,0.9447131661155078,0.9277004051568956,0.9171582383647324,0.9621198109091801,15,21,5,,,,,,,,,,,,,,,,,,,,0.0,121.4,0.0,0.8666666666666667,0.0,0.13333333333333333,51.4,3.1399986584981283,0.0,0.8666666666666667,0.13333333333333333,5000,0.131,655,536,2,0.0,2,2,0,0,0
mix_cons_agr,,,,PLPGPPO,unknown,2,val,2,10000,3413.243789434433,0.0,15,0.0,0.5883333647002776,0.2,0.8,120.73333333333333,2,0.3333333333333333,0.0,0.2,0.8,0,3,12,0.6666666666666666,0.3333333333333333,0.0,0.8333333333333334,60.36666666666667,181.1,5.521811154058531,60.36666666666667,181.1,5.521811154058531,69.73333333333333,1.7446555048198884,51.0,0,440,993,2195,1.0,0.9019908036917547,0.9083918377412062,0.006401034049451549,1.0,0.025504334569217052,0.03464948853360779,0.149447303590834,0.9659863945578231,0,585,3043,0,0,440,993,2195,0.9108392184696755,0.8878153764864567,0.8755287089053431,0.9354983731003554,16,23,5,,,,,,,,,,,,,,,,,,,,0.06666666666666667,120.93333333333334,-0.1966666450103124,0.8,0.0,0.2,63.333333333333336,1.3733330329259237,0.13333333333333333,0.6666666666666666,0.2,5000,0.0764,382,359,23,1.0,1,3,4,0,19,0
mix_cons_agr,,,,PLPGPPO,unknown,2,val,3,15000,5517.429635286331,0.7333333333333333,15,0.7333333333333333,1.061666697760423,0.26666666666666666,0.0,47.46666666666667,2,0.7333333333333333,0.7333333333333333,0.26666666666666666,0.0,11,4,0,1.4666666666666666,0.7333333333333333,0.0,0.0,23.733333333333334,32.36363636363637,30.89887640449438,23.733333333333334,32.36363636363637,30.89887640449438,69.73333333333333,0.685680485924469,-22.266666666666666,0,1213,0,219,0.0,0.893590054282263,0.9093064703671626,0.015716416084899584,1.0,0.043299552755830806,0.06246134665841497,0.17037487290175268,0.5433070866141733,0,1432,0,0,0,1213,0,219,0.9085365933412947,0.8652167312837304,0.8514805513137546,0.9549427177736213,13,22,7,,,,,,,,,,,,,,,,,,,,0.0,46.8,3.793332310517629,0.0,0.7333333333333333,0.26666666666666666,36.266666666666666,-1.670001252492269,0.0,0.7333333333333333,0.26666666666666666,5000,0.1068,534,452,119,0.0,4,4,1,106,8
mix_cons_agr,,,,PLPGPPO,unknown,2,val,4,20000,7180.170378923416,0.7333333333333333,15,0.7333333333333333,1.0583333640048902,0.26666666666666666,0.0,47.06666666666667,2,0.7333333333333333,0.7333333333333333,0.26666666666666666,0.0,11,4,0,1.4666666666666666,0.7333333333333333,0.0,0.0,23.533333333333335,32.09090909090909,31.161473087818695,23.533333333333335,32.09090909090909,31.161473087818695,69.73333333333333,0.6796277627611246,-22.666666666666668,0,1207,0,213,1.0,0.8921550281450782,0.9076919260159345,0.015536897870856272,1.0,0.040948951836965626,0.06274549231772691,0.17281367565885605,0.5375494071146245,0,1420,0,0,0,1207,0,213,0.9082783683085106,0.8645554846952813,0.850192114375007,0.9545603203941398,18,18,11,,,,,,,,,,,,,,,,,,,,0.0,46.266666666666666,3.786665642261505,0.0,0.7333333333333333,0.26666666666666666,36.333333333333336,-1.670001252492269,0.0,0.7333333333333333,0.26666666666666666,5000,0.1208,604,537,120,1.0,4,4,2,105,9
mix_cons_agr,,,,PLPGPPO,unknown,2,val,5,25000,8820.421549320221,0.7333333333333333,15,0.6666666666666666,-0.46833335794508457,0.3333333333333333,0.0,45.6,2,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,10,5,0,1.3333333333333333,0.6666666666666666,0.0,0.0,22.8,34.2,29.239766081871345,22.8,34.2,29.239766081871345,69.73333333333333,0.6453560032459401,-24.133333333333333,0,683,482,213,0.0,0.8897895751350677,0.9048916993795182,0.015102124244450484,1.0,0.025670047732241078,0.06286866362754077,0.1773915469486953,0.4962121212121212,0,45,1333,0,0,683,482,213,0.906793699901232,0.8622478966821521,0.8479766006999161,0.9543005790783117,14,20,10,,,,,,,,,,,,,,,,,,,,0.0,45.93333333333333,3.67666574716568,0.0,0.6666666666666666,0.3333333333333333,28.733333333333334,-4.613332796096802,0.0,0.6666666666666666,0.3333333333333333,5000,0.099,495,448,125,0.0,5,5,4,116,0
mix_cons_agr,,,,PLPGPPO,unknown,2,val,6,30000,10441.175789356232,0.7333333333333333,15,0.6,-1.1816666619231304,0.4,0.0,38.46666666666667,2,0.6,0.6,0.4,0.0,9,6,0,1.2,0.6,0.0,0.0,19.233333333333334,32.05555555555556,31.19584055459272,19.233333333333334,32.05555555555556,31.19584055459272,69.73333333333333,0.5497656627471982,-31.266666666666666,0,157,789,220,0.0,0.8806030854301633,0.8978709974685624,0.017267912038399058,1.0,0.018119622129393026,0.07156243280061932,0.19077889061346012,0.5587044534412956,0,0,1166,0,0,157,789,220,0.9000091851779977,0.8482924018863518,0.8335818334723828,0.9553717816468986,10,19,13,,,,,,,,,,,,,,,,,,,,0.0,38.86666666666667,3.446666876475016,0.0,0.6,0.4,24.866666666666667,-5.8099992593129475,0.0,0.6,0.4,5000,0.088,440,383,102,0.0,6,6,1,95,0
mix_cons_agr,,,,PLPGPPO,unknown,2,val,7,35000,12002.125965356827,0.7333333333333333,15,0.6,-1.1650000022103388,0.4,0.0,37.06666666666667,2,0.6,0.6,0.4,0.0,9,6,0,1.2,0.6,0.0,0.0,18.533333333333335,30.88888888888889,32.37410071942446,18.533333333333335,30.88888888888889,32.37410071942446,69.73333333333333,0.5278640390576128,-32.666666666666664,0,113,807,204,1.0,0.8715713130727781,0.891556840032021,0.01998552695924277,1.0,0.033003035140036545,0.07961217031625242,0.20305719717448822,0.6007905138339921,0,0,1124,0,0,113,807,204,0.8938103947669161,0.8379600355832496,0.8217279206815563,0.9550129126929727,12,21,9,,,,,,,,,,,,,,,,,,,,0.0,37.46666666666667,3.4833335796991984,0.0,0.6,0.4,24.266666666666666,-5.813332478205363,0.0,0.6,0.4,5000,0.0926,463,346,99,1.0,6,6,1,91,1
mix_cons_agr,,,,PLPGPPO,unknown,2,val,8,40000,13570.094433784485,0.7333333333333333,15,0.5333333333333333,-1.273333437119921,0.4666666666666667,0.0,35.86666666666667,2,0.5666666666666667,0.5333333333333333,0.4666666666666667,0.0,8,7,0,1.1333333333333333,0.5666666666666667,0.14285714285714285,0.0,17.933333333333334,31.647058823529413,31.598513011152416,17.933333333333334,31.647058823529413,31.598513011152416,69.73333333333333,0.511474615427496,-33.86666666666667,0,246,652,192,1.0,0.86254583143313,0.8837900960117305,0.02124426457860054,1.0,0.030593288295721815,0.08385507590180143,0.2193154058769482,0.5884476534296029,0,37,1053,0,0,246,652,192,0.8868146978387045,0.8283169932817237,0.8125858978667391,0.9524900740439739,10,21,10,,,,,,,,,,,,,,,,,,,,0.06666666666666667,36.333333333333336,2.4666666706403095,0.0,0.5333333333333333,0.4,25.066666666666666,-5.013332668940226,0.0,0.6,0.4666666666666667,5000,0.0866,433,386,114,1.0,1,6,7,1,105,1
mix_cons_agr,,,,PLPGPPO,unknown,2,val,9,45000,15101.536544084549,0.7333333333333333,15,0.5333333333333333,-3.696666211138169,0.4666666666666667,0.0,33.666666666666664,2,0.5333333333333333,0.5333333333333333,0.4666666666666667,0.0,8,7,0,1.0666666666666667,0.5333333333333333,0.0,0.0,16.833333333333332,31.5625,31.683168316831683,16.833333333333332,31.5625,31.683168316831683,69.73333333333333,0.47974950809709865,-36.06666666666667,0,13,805,206,1.0,0.857083014328964,0.8802713167970069,0.02318830246804282,1.0,0.028520606113389135,0.09054703360015992,0.22224618938344065,0.6466165413533834,0,0,1024,0,0,13,805,206,0.8831004995736293,0.8202090175436751,0.8044167991611175,0.954544703126885,12,19,10,,,,,,,,,,,,,,,,,,,,0.06666666666666667,34.13333333333333,2.490000367164612,0.0,0.5333333333333333,0.4,23.733333333333334,-9.883332935969035,0.0,0.5333333333333333,0.4666666666666667,5000,0.109,545,512,92,1.0,1,6,7,1,83,1
mix_cons_agr,,,,PLPGPPO,unknown,2,val,10,50000,16632.115875005722,0.7333333333333333,15,0.5333333333333333,-3.6933328196406365,0.4666666666666667,0.0,33.6,2,0.5333333333333333,0.5333333333333333,0.4666666666666667,0.0,8,7,0,1.0666666666666667,0.5333333333333333,0.0,0.0,16.8,31.5,31.746031746031747,16.8,31.5,31.746031746031747,69.73333333333333,0.4800742122084663,-36.13333333333333,0,3,812,207,1.0,0.8561424008787495,0.8799904256534203,0.023848024774670833,1.0,0.03409520478030599,0.09204271762338403,0.22129990428015445,0.6590909090909091,0,0,1022,0,0,3,812,207,0.8828892373058894,0.8195645107510418,0.8034842946874652,0.9549573951504702,11,17,16,,,,,,,,,,,,,,,,,,,,0.06666666666666667,34.06666666666667,2.490000371138255,0.0,0.5333333333333333,0.4,23.666666666666668,-9.87666630744934,0.0,0.5333333333333333,0.4666666666666667,5000,0.1156,578,521,91,1.0,1,6,7,1,81,2
mix_cons_agr,,,,PLPGPPO,unknown,2,val,11,55000,18190.100594997406,0.7333333333333333,15,0.4666666666666667,-5.234999437009295,0.5333333333333333,0.0,32.93333333333333,2,0.4666666666666667,0.4666666666666667,0.5333333333333333,0.0,7,8,0,0.9333333333333333,0.4666666666666667,0.0,0.0,16.466666666666665,35.285714285714285,28.34008097165992,16.466666666666665,35.285714285714285,28.34008097165992,69.73333333333333,0.4626656917569812,-36.8,0,6,799,199,0.8888888888888888,0.852557911044098,0.877029894891963,0.02447198384786507,1.0,0.04031501601771215,0.09374416806545866,0.22390769885860354,0.6741573033707865,0,0,1004,0,0,6,799,199,0.8810972428298092,0.8174241798673849,0.8007732300288174,0.9544180063493698,18,21,6,,,,,,,,,,,,,,,,,,,,0.06666666666666667,33.46666666666667,2.4266671379407247,0.0,0.4666666666666667,0.4666666666666667,22.733333333333334,-12.89666625658671,0.0,0.4666666666666667,0.5333333333333333,5000,0.095,475,459,95,0.8888888888888888,1,7,8,3,83,1
