exp_name,assignment_name,model_slot_mapping,permutation_index,method,difficulty,seed,split,eval_index,timestep,wall_clock_time_sec,best_tsr_so_far,num_eval_episodes,tsr,mean_reward,failure_rate,timeout_rate,mean_episode_length,num_rl_agents,mean_agent_tsr,joint_tsr,joint_failure_rate,joint_timeout_rate,episodes_all_k_success,episodes_joint_failure,episodes_joint_timeout,mean_completed_rl_agents,mean_completed_rl_fraction,mean_completed_rl_agents_before_failure,mean_completed_rl_agents_before_timeout,mean_episode_length_per_rl_agent,mean_steps_per_completed_rl_agent,successful_rl_agents_per_1k_episode_steps,mean_episode_length_per_car,mean_steps_per_completed_car,successful_cars_per_1k_episode_steps,mean_expert_reference_step_count,mean_policy_to_expert_step_ratio,mean_excess_steps_vs_expert,action_slow_count,action_normal_count,action_fast_count,action_stop_count,mean_decision_succ,mean_base_policy_safe_prob,mean_shielded_policy_safe_prob,mean_safety_gain,shield_intervention_rate,mean_policy_kl_base_to_shielded,mean_l1_shift_base_to_shielded,hazard_step_rate,shield_forced_stop_rate,base_action_slow_count,base_action_normal_count,base_action_fast_count,base_action_stop_count,shielded_action_slow_count,shielded_action_normal_count,shielded_action_fast_count,shielded_action_stop_count,mean_safe_prob_action_slow,mean_safe_prob_action_normal,mean_safe_prob_action_fast,mean_safe_prob_action_stop,rollout_failures_since_last_eval,rollout_timeouts_since_last_eval,rollout_successes_since_last_eval,goal_completion_rate,mean_agent_goal_completion_rate,failure_rate_per_goal,failure_rate_per_1k_steps,unfinished_goal_rate,completed_goals,failed_goals,active_goals_at_budget,deployment_count,failure_reset_count,resolved_goal_attempts,resolved_goal_quota_per_agent,micro_rollout_tsr,micro_rollout_failure_rate,macro_rollout_tsr,macro_rollout_failure_rate,mean_steps_per_resolved_goal_attempt,successful_goals_per_1k_steps,resolved_goal_attempts_per_1k_steps,agent_car_1_failure_involvement_rate,agent_car_1_mean_active_steps,agent_car_1_mean_reward,agent_car_1_timeout_unresolved_rate,agent_car_1_tsr,agent_car_2_failure_involvement_rate,agent_car_2_mean_active_steps,agent_car_2_mean_reward,agent_car_2_timeout_unresolved_rate,agent_car_2_tsr,agent_car_3_failure_involvement_rate,agent_car_3_mean_active_steps,agent_car_3_mean_reward,agent_car_3_timeout_unresolved_rate,agent_car_3_tsr,non_timeout_failure_rate,rollout_agent_steps_since_last_eval,rollout_required_stop_rate_since_last_eval,rollout_stop_needed_steps_since_last_eval,rollout_traffic_violations_since_last_eval,traffic_violation_count,decision_succ_action_stop,fail_rl_agent_7,fail_rule_Collision,fail_rule_Collision_Close,fail_rule_Intersection_Right-of-Way,fail_rule_Simultaneous_Intersection_Entry
exp1_compact3_easy_plpg_k3_v7,,,,PLPGPPO,unknown,2,val,1,3000,716.9717633724213,0.0,15,0.0,-0.42222221692403156,0.06666666666666667,0.9333333333333333,73.46666666666667,3,0.0,0.0,0.06666666666666667,0.9333333333333333,0,1,14,0.0,0.0,0.0,0.0,24.488888888888887,1102.0,0.0,24.488888888888887,1102.0,0.0,80.86666666666666,0.9499404533960131,-7.4,0,0,0,3309,0.0,0.9532322270447267,0.956495865931789,0.00326363888706243,1.0,0.0022666208328097725,0.028413622684261165,0.06426147701391535,1.0,0,0,0,3309,0,0,0,3309,0.9401404379933721,0.9381214863730183,0.9339785197055674,1.0,14,7,1,,,,,,,,,,,,,,,,,,,,0.0,73.53333333333333,0.0,0.9333333333333333,0.0,0.0,73.53333333333333,0.0,0.9333333333333333,0.0,0.06666666666666667,73.53333333333333,-0.6666666666666666,0.9333333333333333,0.0,0.06666666666666667,3000,0.12233333333333334,367,307,1,0.0,1,1,0,0,0
exp1_compact3_easy_plpg_k3_v7,,,,PLPGPPO,unknown,2,val,2,6000,2095.279062271118,0.0,15,0.0,-0.42222221692403156,0.06666666666666667,0.9333333333333333,73.46666666666667,3,0.0,0.0,0.06666666666666667,0.9333333333333333,0,1,14,0.0,0.0,0.0,0.0,24.488888888888887,1102.0,0.0,24.488888888888887,1102.0,0.0,80.86666666666666,0.9499404533960131,-7.4,0,0,0,3309,0.0,0.953313284732309,0.9566285347390946,0.0033152500067855266,1.0,0.0023059009538609373,0.028711596129523478,0.06446603909427574,1.0,0,0,0,3309,0,0,0,3309,0.9401523168982606,0.9378401939513713,0.9337484273495505,1.0,7,9,1,,,,,,,,,,,,,,,,,,,,0.0,73.53333333333333,0.0,0.9333333333333333,0.0,0.0,73.53333333333333,0.0,0.9333333333333333,0.0,0.06666666666666667,73.53333333333333,-0.6666666666666666,0.9333333333333333,0.0,0.06666666666666667,3000,0.152,456,386,1,0.0,1,1,0,0,0
exp1_compact3_easy_plpg_k3_v7,,,,PLPGPPO,unknown,2,val,3,9000,3448.8908088207245,0.0,15,0.0,-0.42222221692403156,0.06666666666666667,0.9333333333333333,73.46666666666667,3,0.0,0.0,0.06666666666666667,0.9333333333333333,0,1,14,0.0,0.0,0.0,0.0,24.488888888888887,1102.0,0.0,24.488888888888887,1102.0,0.0,80.86666666666666,0.9499404533960131,-7.4,0,0,0,3309,0.0,0.9532633330318351,0.9566260135833069,0.003362680551471866,1.0,0.0023430306498207834,0.028727993148444608,0.06431456797565713,1.0,0,0,0,3309,0,0,0,3309,0.9399920781957811,0.9379948793346696,0.9338919201910262,1.0,8,12,0,,,,,,,,,,,,,,,,,,,,0.0,73.53333333333333,0.0,0.9333333333333333,0.0,0.0,73.53333333333333,0.0,0.9333333333333333,0.0,0.06666666666666667,73.53333333333333,-0.6666666666666666,0.9333333333333333,0.0,0.06666666666666667,3000,0.10133333333333333,304,227,1,0.0,1,1,0,0,0
exp1_compact3_easy_plpg_k3_v7,,,,PLPGPPO,unknown,2,val,4,12000,4838.304793596268,0.0,15,0.0,-0.42222221692403156,0.06666666666666667,0.9333333333333333,73.46666666666667,3,0.0,0.0,0.06666666666666667,0.9333333333333333,0,1,14,0.0,0.0,0.0,0.0,24.488888888888887,1102.0,0.0,24.488888888888887,1102.0,0.0,80.86666666666666,0.9499404533960131,-7.4,0,0,0,3309,0.0,0.9529742109123477,0.9563867028258869,0.0034124919135392557,1.0,0.002382654768754507,0.02895303555542193,0.06487483364279698,1.0,0,0,0,3309,0,0,0,3309,0.9399002209715557,0.937461154649682,0.933320485093724,1.0,9,10,0,,,,,,,,,,,,,,,,,,,,0.0,73.53333333333333,0.0,0.9333333333333333,0.0,0.0,73.53333333333333,0.0,0.9333333333333333,0.0,0.06666666666666667,73.53333333333333,-0.6666666666666666,0.9333333333333333,0.0,0.06666666666666667,3000,0.15133333333333332,454,406,1,0.0,1,1,0,0,0
exp1_compact3_easy_plpg_k3_v7,,,,PLPGPPO,unknown,2,val,5,15000,6223.317851066589,0.0,15,0.0,-0.42222221692403156,0.06666666666666667,0.9333333333333333,73.46666666666667,3,0.0,0.0,0.06666666666666667,0.9333333333333333,0,1,14,0.0,0.0,0.0,0.0,24.488888888888887,1102.0,0.0,24.488888888888887,1102.0,0.0,80.86666666666666,0.9499404533960131,-7.4,0,0,0,3309,0.0,0.9533626743226153,0.9566144666559353,0.0032517923333198868,1.0,0.0022588286296391044,0.02842105245546979,0.06401762367082925,1.0,0,0,2059,1250,0,0,0,3309,0.9403150529074648,0.9381380013268172,0.9341697167975551,1.0,13,7,0,,,,,,,,,,,,,,,,,,,,0.0,73.53333333333333,0.0,0.9333333333333333,0.0,0.0,73.53333333333333,0.0,0.9333333333333333,0.0,0.06666666666666667,73.53333333333333,-0.6666666666666666,0.9333333333333333,0.0,0.06666666666666667,3000,0.159,477,464,1,0.0,1,1,0,0,0
exp1_compact3_easy_plpg_k3_v7,,,,PLPGPPO,unknown,2,val,6,18000,7639.526132583618,0.0,15,0.0,-0.42222221692403156,0.06666666666666667,0.9333333333333333,73.46666666666667,3,0.0,0.0,0.06666666666666667,0.9333333333333333,0,1,14,0.0,0.0,0.0,0.0,24.488888888888887,1102.0,0.0,24.488888888888887,1102.0,0.0,80.86666666666666,0.9499404533960131,-7.4,0,0,0,3309,0.0,0.9531953467203073,0.9564591278731552,0.0032637811528479954,1.0,0.002266220133171841,0.028446932503124422,0.06415780856034553,1.0,0,21,3288,0,0,0,0,3309,0.9402334786462943,0.9380568235293009,0.9340407013640947,1.0,16,7,2,,,,,,,,,,,,,,,,,,,,0.0,73.53333333333333,0.0,0.9333333333333333,0.0,0.0,73.53333333333333,0.0,0.9333333333333333,0.0,0.06666666666666667,73.53333333333333,-0.6666666666666666,0.9333333333333333,0.0,0.06666666666666667,3000,0.137,411,376,1,0.0,1,1,0,0,0
exp1_compact3_easy_plpg_k3_v7,,,,PLPGPPO,unknown,2,val,7,21000,9070.892381429672,0.0,15,0.0,0.1233333391447862,0.0,1.0,75.0,3,0.022222222884496053,0.0,0.0,1.0,0,0,15,0.06666666666666667,0.022222222222222223,0.0,0.06666666666666667,25.0,1125.0,0.8888888888888888,25.0,1125.0,0.8888888888888888,80.86666666666666,0.9673646958202553,-5.866666666666666,0,0,109,3266,0.0,0.9437879444758097,0.9487846038959644,0.004996659420154713,1.0,0.003520286376691527,0.035685388962427775,0.08296139854137544,1.0,0,0,3375,0,0,0,109,3266,0.9337849416556182,0.9255446183063366,0.9161686880853441,1.0,9,11,0,,,,,,,,,,,,,,,,,,,,0.0,74.26666666666667,0.47333333690961205,0.9333333333333333,0.06666666666666667,0.0,75.0,0.3366666555404663,1.0,0.0,0.0,75.0,0.16000000635782877,1.0,0.0,0.0,3000,0.13566666666666666,407,373,0,0.0,0,0,0,0
exp1_compact3_easy_plpg_k3_v7,,,,PLPGPPO,unknown,2,val,8,24000,10516.439893007278,0.0,15,0.0,-0.42222221692403156,0.06666666666666667,0.9333333333333333,73.46666666666667,3,0.0,0.0,0.06666666666666667,0.9333333333333333,0,1,14,0.0,0.0,0.0,0.0,24.488888888888887,1102.0,0.0,24.488888888888887,1102.0,0.0,80.86666666666666,0.9499404533960131,-7.4,0,0,0,3309,0.0,0.953016358907578,0.9563962078843818,0.003379848976803892,1.0,0.0023606820907314295,0.028779108238277857,0.06466042359823113,1.0,0,0,3309,0,0,0,0,3309,0.9401222262255696,0.9377967204778135,0.9335955297093119,1.0,17,4,1,,,,,,,,,,,,,,,,,,,,0.0,73.53333333333333,0.0,0.9333333333333333,0.0,0.0,73.53333333333333,0.0,0.9333333333333333,0.0,0.06666666666666667,73.53333333333333,-0.6666666666666666,0.9333333333333333,0.0,0.06666666666666667,3000,0.17466666666666666,524,448,1,0.0,1,1,0,0,0
exp1_compact3_easy_plpg_k3_v7,,,,PLPGPPO,unknown,2,val,9,27000,11900.952115535736,0.0,15,0.0,0.07555555999279022,0.0,1.0,75.0,3,0.0,0.0,0.0,1.0,0,0,15,0.0,0.0,0.0,0.0,25.0,1125.0,0.0,25.0,1125.0,0.0,80.86666666666666,0.9673646958202553,-5.866666666666666,0,0,88,3287,0.0,0.9455104614716989,0.9501270101335314,0.004616548661832456,1.0,0.003238566840964335,0.03438057357735104,0.08026428249036824,1.0,0,0,3375,0,0,0,88,3287,0.9352627796420344,0.9277325240770976,0.9189022860880252,1.0,7,10,1,,,,,,,,,,,,,,,,,,,,0.0,75.0,0.3099999924500783,1.0,0.0,0.0,75.0,0.3566666622956594,1.0,0.0,0.0,75.0,0.16000000635782877,1.0,0.0,0.0,3000,0.13566666666666666,407,353,0,0.0,0,0,0,0
exp1_compact3_easy_plpg_k3_v7,,,,PLPGPPO,unknown,2,val,10,30000,13350.318440437317,0.0,15,0.0,0.5444444635262092,0.06666666666666667,0.9333333333333333,71.93333333333334,3,0.044444445768992105,0.0,0.06666666666666667,0.9333333333333333,0,1,14,0.13333333333333333,0.044444444444444446,0.0,0.14285714285714285,23.977777777777778,539.5,1.8535681186283597,23.977777777777778,539.5,1.8535681186283597,80.86666666666666,0.9235551720107316,-8.933333333333334,0,0,317,2923,0.0,0.9285432930345888,0.9379904958201043,0.009447202785515491,1.0,0.007131001857730249,0.04974915656594583,0.10804509110978724,1.0,0,0,3240,0,0,0,317,2923,0.9191885099458842,0.9045514052664793,0.8908881459431148,1.0,14,8,1,,,,,,,,,,,,,,,,,,,,0.0,72.0,0.966666649778684,0.8666666666666667,0.06666666666666667,0.06666666666666667,70.26666666666667,0.6033333003520965,0.8666666666666667,0.06666666666666667,0.0,72.0,0.6633333186308543,0.9333333333333333,0.0,0.06666666666666667,3000,0.15833333333333333,475,478,1,0.0,1,1,0,0,0
