eval_index,timestep,num_rl_agents,tsr,timeout_rate,non_timeout_failure_rate,mean_reward,mean_episode_length_per_car,mean_steps_per_completed_car,mean_policy_to_expert_step_ratio,mean_excess_steps_vs_expert,traffic_violation_count,rollout_traffic_violations_since_last_eval,rollout_failures_since_last_eval,rollout_timeouts_since_last_eval,rollout_successes_since_last_eval,action_slow_count,action_fast_count,action_normal_count,action_stop_count,agent_car_1_mean_reward,agent_car_2_mean_reward,agent_car_3_mean_reward
1,10002,3,0.2,0.0,0.8,-7.7744436778128145,4.844444444444444,24.22222222222222,0.20809132311618528,-66.33333333333333,173,1149,37,30,3,0,690,0,0,2.173333658774694,-22.883332959810893,-2.6133331576983134
2,20004,3,0.13333333333333333,0.0,0.8666666666666667,-8.987777089700103,3.911111111111111,29.333333333333332,0.17698021200507416,-69.13333333333334,145,1152,54,26,4,0,567,0,0,-0.4799997270107269,-23.549999646345775,-2.9333332816759747
3,30006,3,0.2,0.0,0.8,-9.116666006172697,4.444444444444445,22.22222222222222,0.19454534069308418,-67.53333333333333,146,911,35,30,4,0,636,0,0,-3.4099996825059256,-21.163333014647165,-2.776666518052419
4,40008,3,0.2,0.0,0.8,-9.013332570468386,4.622222222222222,23.11111111111111,0.19818921533695882,-67.0,163,1087,36,31,1,0,660,0,0,-5.553333042065303,-21.07666631937027,-0.40999977191289266
5,50010,3,0.2,0.0,0.8,-9.023332567264637,4.666666666666667,23.333333333333332,0.20046667924154138,-66.86666666666666,172,1394,35,26,7,0,666,0,0,-5.563333008686701,-21.08666635751724,-0.41999974648157756
6,60012,3,0.2,0.0,0.8,-7.691110277548432,5.044444444444444,25.22222222222222,0.2131682461931083,-65.73333333333333,180,1135,40,26,5,0,717,0,0,0.01000035007794698,-22.796666264533997,-0.2866664528846741
7,70014,3,0.2,0.0,0.8,-8.851110331589977,4.777777777777778,23.88888888888889,0.20526724904211116,-66.53333333333333,167,1090,42,29,5,0,681,0,0,-1.0233331143856048,-22.89333304564158,-2.636666492621104
8,80001,3,0.13333333333333333,0.0,0.8666666666666667,-8.614443576335907,4.488888888888889,33.666666666666664,0.1941608098127906,-67.4,177,1035,24,31,4,0,645,0,0,-0.23333319624265034,-25.183333031336467,-0.42666650215784707
