eval_index,timestep,num_rl_agents,tsr,timeout_rate,non_timeout_failure_rate,mean_reward,mean_episode_length_per_car,mean_steps_per_completed_car,mean_policy_to_expert_step_ratio,mean_excess_steps_vs_expert,traffic_violation_count,rollout_traffic_violations_since_last_eval,rollout_failures_since_last_eval,rollout_timeouts_since_last_eval,rollout_successes_since_last_eval,action_slow_count,action_fast_count,action_normal_count,action_stop_count,agent_car_1_mean_reward,agent_car_2_mean_reward,agent_car_3_mean_reward
1,3000,3,0.0,0.9333333333333333,0.06666666666666667,-0.42222221692403156,24.488888888888887,1102.0,0.9499404533960131,-7.4,1,298,10,6,2,0,0,0,3309,0.0,0.0,-0.6666666666666666
2,6000,3,0.0,0.9333333333333333,0.06666666666666667,-0.42222221692403156,24.488888888888887,1102.0,0.9499404533960131,-7.4,1,436,12,9,2,0,0,0,3309,0.0,0.0,-0.6666666666666666
3,9000,3,0.0,0.9333333333333333,0.06666666666666667,-0.42222221692403156,24.488888888888887,1102.0,0.9499404533960131,-7.4,1,426,9,8,2,0,0,0,3309,0.0,0.0,-0.6666666666666666
