eval_index,timestep,num_rl_agents,tsr,timeout_rate,non_timeout_failure_rate,mean_reward,mean_episode_length_per_car,mean_steps_per_completed_car,mean_policy_to_expert_step_ratio,mean_excess_steps_vs_expert,traffic_violation_count,rollout_traffic_violations_since_last_eval,rollout_failures_since_last_eval,rollout_timeouts_since_last_eval,rollout_successes_since_last_eval,action_slow_count,action_fast_count,action_normal_count,action_stop_count,agent_car_1_mean_reward,agent_car_2_mean_reward
1,3000,2,0.5333333333333333,0.26666666666666666,0.2,2.3950000877181687,46.06666666666667,86.375,1.2927485348612964,22.4,1067,270,7,11,6,548,74,644,1504,2.236665999889374,2.553332444032033
2,6000,2,0.4666666666666667,0.13333333333333333,0.4,0.8350000775108735,27.833333333333332,59.642857142857146,0.8113556872431985,-14.066666666666666,784,275,9,10,6,371,28,695,588,-0.4600005388259888,2.129999339580536
3,9000,2,0.5333333333333333,0.06666666666666667,0.4,1.395000066732367,22.566666666666666,39.8235294117647,0.6657848774868357,-24.6,599,236,3,13,7,388,673,18,287,0.7133336385091146,2.0766668637593586
4,12000,2,0.4666666666666667,0.0,0.5333333333333333,0.18166674301028252,16.2,32.4,0.4818285396023052,-37.333333333333336,344,283,8,12,5,339,611,6,32,1.2766668478647867,-0.9133331060409546
5,15000,2,0.5333333333333333,0.0,0.4666666666666667,0.2416667522241672,15.633333333333333,29.3125,0.46427605648344134,-38.46666666666667,320,341,9,12,6,261,645,23,23,1.1600002924601236,-0.6766663233439127
